,БС,БС,БС,БС,БС
,count,mean,std,amin,amax
БС - реал,,,,,
1.2426e-06,6,-5.922311202181643e-07,6.015421007260847e-06,-8.07815947372278e-06,6.973103227582761e-06
2.4852e-06,8,4.69720248243749e-06,5.771126543191106e-06,-5.076682994254231e-06,1.1786709959154957e-05
4.905e-06,8,4.972886543126634e-06,4.054599155229919e-06,-1.495695873606334e-06,9.96811181487833e-06
9.81e-06,5,1.3894633911502584e-05,4.931969802987343e-06,8.225208446521393e-06,1.9832143921631786e-05
1.962e-05,8,2.3537250181580586e-05,3.491985968564358e-06,1.702596913535908e-05,2.6961884530666504e-05
3.924e-05,8,4.6176379583432015e-05,2.811242487617142e-06,4.067561994395666e-05,4.972848678495073e-05
7.848e-05,8,8.818407649462687e-05,4.021517772182214e-06,8.020788907870368e-05,9.333026245303083e-05
0.00015696,6,0.00014362422257114716,4.234437897454955e-06,0.0001373645256496691,0.00014992830665348
