,ФК,ФК,ФК,ФК,ФК
,count,mean,std,amin,amax
ФК - реал,,,,,
6.448e-06,8,-0.00011041459769404266,6.945495000767751e-05,-0.00019815023925166437,8.845599388072932e-06
1.2896e-05,8,-8.303442378386497e-05,5.16961461736615e-05,-0.00017345553232769772,-1.5222836666650037e-05
2.5792e-05,8,-3.605585068750408e-05,3.9200282961980565e-05,-0.00010301460126122627,2.6532795033258688e-06
5.1584e-05,8,-6.106316551069488e-06,3.904047065629525e-05,-7.384360871571137e-05,5.0310566193713724e-05
0.000103168,8,4.429858584929538e-05,6.361775392588275e-05,-4.4226824692132794e-05,0.0001223955839161199
0.000206336,8,0.00018207064942099465,4.5893963130797124e-05,0.00010366935666422268,0.0002658769380031639
0.000412672,8,0.00032586096125421753,6.445828490770355e-05,0.00021563405476393016,0.0003833978457080008
0.000825344,8,0.0008164560899463392,3.1390611276956884e-05,0.0007668291074424685,0.0008587110827003027
