;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;135;;;;;;;;;;;;;;;;;;;
variables;F0;F5;F10;F15;F20;F25;F30;F35;F40;F45;F90;F135;R0;R5;R10;R15;R20;R25;R30;R35;R40;R45;R90;R135;G0;G5;G10;G15;G20;G25;G30;G35;G40;G45;G90;G135;R-G0;R-G5;R-G10;R-G15;R-G20;R-G25;R-G30;R-G35;R-G40;R-G45;R-G90;R-G135
0;210.081;209.179;201.642;197.807;196.536;192.337;189.481;184.854;183.464;180.553;149.489;105.002;127.515;135.043;133.432;135.897;136.055;135.62;134.12;134.163;136.397;133.266;136.086;142.58;73.97;77.029;72.173;72.803;71.016;68.132;65.107;64.431;65.109;60.144;56.753;59.369;53.545;58.014;61.259;63.094;65.039;67.488;69.013;69.732;71.288;73.122;79.333;83.211
0;221.668;219.256;215.805;212.278;211.102;208.283;205.033;202.8;201.367;198.279;167.619;111.335;118.443;128.397;126.33;129.514;129.386;129.255;127.668;128.176;130.506;127.106;131.633;141.736;62.906;69.1;62.036;62.441;60.737;58.126;55.597;54.363;54.52;50.864;48.028;52.074;55.537;59.297;64.294;67.073;68.649;71.129;72.071;73.813;75.986;76.242;83.605;89.662
0;221.721;218.785;218.046;214.69;213.45;211.051;208.67;207.075;205.221;202.714;178.158;132.919;118.886;127.538;125.936;129.299;129.191;129.098;127.705;127.767;129.715;126.675;128.378;135.746;60.974;65.378;64.816;64.693;62.973;60.573;58.119;56.578;56.135;52.739;46.911;48.731;57.912;62.16;61.12;64.606;66.218;68.525;69.586;71.189;73.58;73.936;81.467;87.015
0;221.952;214.638;217.905;214.076;211.865;209.978;206.998;206.387;203.52;201.738;174.769;127.28;119.247;128.448;126.73;128.948;128.428;127.781;127.266;127.588;128.67;126.143;127.07;134.567;64.588;67.022;60.95;62.147;60.192;56.894;54.113;52.593;52.931;49.201;44.171;45.44;54.659;61.426;65.78;66.801;68.236;70.887;73.153;74.995;75.739;76.942;82.899;89.127
0;214.98;206.424;211.052;207.065;202.828;201.209;196.819;198.199;193.671;191.576;162.118;118.101;115.833;127.659;127.475;129.828;129.125;128.549;127.807;127.839;129.877;126.561;128.056;135.095;62.941;68.568;68.575;67.867;65.569;63.256;60.882;59.867;59.454;55.772;50.817;51.896;52.892;59.091;58.9;61.961;63.556;65.293;66.925;67.972;70.423;70.789;77.239;83.199
0;211.411;210.272;208.972;207.693;204.503;201.828;200.959;197.539;194.673;192.186;162.28;116.358;121.598;133.779;133.292;136.194;136.329;135.913;134.118;134.032;136.119;132.621;136.45;143.665;65.574;73.622;72.689;72.777;71.103;69.064;66.679;65.329;66.221;61.597;57.639;59.734;56.024;60.157;60.603;63.417;65.226;66.849;67.439;68.703;69.898;71.024;78.811;83.931
0.002;211.045;208.4;202.085;195.778;193.713;186.423;180.842;173.944;167.444;158.199;89.699;79.915;119.249;127.995;128.357;131.308;132.192;133.666;132.349;134.326;138.611;134.77;146.019;145.872;53.537;58.852;60.442;61.88;61.808;59.646;58.586;58.355;59.734;58.435;67.769;66.56;65.712;69.143;67.915;69.428;70.384;74.02;73.763;75.971;78.877;76.335;78.25;79.312
0.002;215.389;212.09;209.754;203.759;200.926;195.241;189.082;183.992;176.878;168.906;97.113;87.1;112.863;123.856;125.016;127.826;129.147;130.196;129.941;130.548;134.461;131.662;145.311;145.3;50.189;57.013;54.778;56.105;56.422;55.421;54.052;54.191;55.543;53.246;65.415;65.185;62.674;66.843;70.238;71.721;72.725;74.775;75.889;76.357;78.918;78.416;79.896;80.115
0.002;221.984;216.026;216.102;210.702;208.363;203.66;198.339;194.581;188.275;180.288;98.955;89.242;111.669;121.383;121.698;125.995;126.876;127.153;127.016;127.666;130.425;127.986;140.829;141.144;48.929;55.267;52.952;52.523;52.452;50.986;49.346;49.662;50.687;48.031;57.166;56.109;62.74;66.116;68.746;73.472;74.424;76.167;77.67;78.004;79.738;79.955;83.663;85.035
